plot,subplot,flag,pid,area_ac,bnd_km
206,,,0,16.596,0.000
207,,,1,21.523,0.000
208,,,2,4.284,0.060
212,,,3,20.212,0.193
213,,,4,14.120,0.305
204,,,5,2.230,0.000
204,,,6,5.494,0.000
204,,,7,1.651,0.000
204,,,8,2.466,0.000
204,,,9,3.029,0.000
204,,,10,2.685,0.000
204,,,11,2.602,0.000
204,,,12,2.723,0.091
204,,,13,2.889,0.108
204,,,14,3.675,0.100
204,,,15,1.550,0.097
204,,,16,0.579,0.000
204,,,17,3.134,0.243
204,,,18,12.168,0.000
186,,,19,4.809,0.283
187,,,20,1.642,0.359
188,,,21,3.425,0.252
203,,,22,18.604,0.000
201,,,23,1.788,0.049
202,,,24,6.019,0.000
200,,,25,1.331,0.107
190,,,26,3.569,0.283
189,,,27,1.198,0.235
191,,,28,15.170,0.342
192,,,29,2.309,0.296
198,,,30,1.984,0.352
193,,,31,8.011,0.447
184,,,32,18.208,0.603
185,,,33,10.704,0.493
223,,,34,8.590,0.465
225,,,35,13.486,0.664
224,,,36,8.862,0.632
238,,,37,10.333,0.000
237,,,38,11.528,0.000
236,,,39,12.949,0.000
217,,,40,12.540,0.000
216,,,41,18.054,0.000
218,,,42,10.659,0.101
219,,,43,9.044,0.359
235,,,44,14.029,0.289
234,,,45,17.365,0.521
233,,,46,18.895,0.535
220,,,47,17.419,0.362
227,,,48,13.389,0.773
248,,,49,5.140,0.000
248,,,50,4.062,0.000
239,,,51,2.837,0.159
241,,,52,18.439,0.000
242,,,53,13.772,0.000
243,,,54,11.488,0.172
244,,,55,14.677,0.000
245,,,56,11.514,0.000
246,,,57,17.826,0.000
255,,,58,7.015,0.000
256,,,59,15.921,0.000
258,,,60,14.264,0.000
259,,,61,5.125,0.000
259,,,62,0.000,-0.001
72,,,63,2.735,0.000
71,,,64,19.866,0.000
73,,,65,19.762,0.000
74,,,66,18.169,0.000
75,,,67,18.060,0.000
70,,,68,22.948,0.234
69,,,69,12.229,0.442
76,,,70,7.319,0.337
78,,,71,7.129,0.457
64,,,72,11.899,0.576
79,,,73,10.437,0.460
87,,,74,12.499,0.472
88,,,75,13.898,0.500
68,,,76,14.149,0.423
65,,,77,12.566,0.753
66,,,78,5.374,0.799
67,,,79,12.924,0.423
77,,,80,19.211,0.000
80,,,81,15.762,0.000
81,,,82,5.906,0.000
85,,,83,2.141,0.082
86,,,84,12.516,0.175
84,,,85,2.920,0.101
83,,,86,1.806,0.055
82,,,87,1.897,0.000
122,,,88,5.591,0.739
117,,,89,7.785,0.654
116,,,90,12.240,0.557
121,,,91,13.126,0.572
120,,,92,9.912,0.433
118,,,93,18.316,0.336
109,,,94,11.760,0.174
119,,,95,10.602,0.238
107,,,96,14.527,0.000
108,,,97,15.019,0.000
260,,,98,8.286,0.092
261,,,99,15.798,0.187
264,,,100,10.845,0.283
89,,,101,2.393,0.473
91,,,102,1.946,0.371
97,,,103,3.338,0.261
92,,,104,1.613,0.253
90,,,105,2.812,0.398
95,,,106,1.689,0.237
96,,,107,2.825,0.233
93,,,108,1.596,0.140
98,,,109,2.069,0.198
99,,,110,0.343,0.203
94,,,111,2.174,0.096
105,,,112,3.930,0.090
106,,,113,1.756,0.081
103,,,114,0.956,0.037
104,,,115,1.351,0.084
101,,,116,2.166,0.000
102,,,117,2.152,0.000
123,,,118,22.437,0.774
126,,,119,16.780,0.805
63,,,120,0.940,1.039
124,,,121,13.900,0.939
62,,,122,4.132,1.067
62,,,123,4.810,1.129
63,,,124,20.111,0.773
61,,,125,1.669,1.254
61,,,126,11.198,0.969
265,,,127,45.953,0.687
59,,,128,11.772,1.046
58,,,129,9.960,0.898
60,,,130,6.979,0.934
338,,,131,14.173,1.039
52,,,132,9.431,0.854
57,,,133,8.703,0.647
129,,,134,7.966,0.633
125,,,135,3.394,0.916
125,,,136,4.692,0.867
128,,,137,7.287,0.614
127,,,138,12.772,0.659
132,,,139,3.750,0.575
133,,,140,14.697,0.575
134,,,141,2.568,0.684
248,,,142,2.493,0.263
248,,,143,3.396,0.351
248,,,144,5.892,0.398
248,,,145,3.130,0.554
248,,,146,7.851,0.381
248,,,147,4.178,0.600
248,,,148,4.280,0.398
248,,,149,6.741,0.343
248,,,150,1.828,0.326
248,,,151,8.390,0.242
108,,,152,2.012,0.000
110,,,153,8.865,0.000
111,,,154,12.937,0.000
114,,,155,9.615,0.187
113,,,156,9.343,0.000
112,,,157,5.106,0.000
115,,,158,8.080,0.323
134,,,159,7.635,0.465
135,,,160,7.975,0.445
137,,,161,1.318,0.351
136,,,162,8.277,0.336
138,,,163,10.198,0.149
141,,,164,2.268,0.084
141,,,165,1.552,0.072
141,,,166,1.208,0.000
141,,,167,2.023,0.022
139,,,168,14.108,0.000
141,,,169,1.690,0.110
141,,,170,1.813,0.095
140,,,171,2.473,0.000
142,,,172,10.167,0.000
143,,,173,10.559,0.000
145,,,174,1.335,0.075
144,,,175,14.776,0.000
146,,,176,12.450,0.000
151,,,177,10.478,0.000
150,,,178,10.370,0.054
