Plot,Sub,Flag,pid,area_ac,bnd_km
269,,,0,8.798,0.000
618,,,1,9.587,42.990
618,,,2,9.277,142.228
616,,,3,3.213,390.976
617,,,4,7.319,225.264
617,,,5,9.416,202.803
616,,,6,2.813,152.132
616,,,7,2.536,260.452
616,,,8,3.427,343.821
616,,,9,3.038,420.192
622,,,10,1.470,544.045
622,,,11,2.152,473.071
623,,,12,2.357,553.095
621,,,13,10.066,489.360
615,,,14,10.493,62.723
614,,,15,2.611,71.897
613,,,16,5.558,66.171
612,,,17,11.081,0.000
612,,,18,7.839,0.000
612,,,19,5.532,0.000
612,,,20,9.209,0.000
619,,,21,22.111,0.000
620,,,22,12.337,489.360
656,,,23,3.882,507.786
656,,,24,4.149,485.020
655,,,25,4.803,516.972
655,,,26,0.403,563.960
648,,,27,5.045,346.855
648,,,28,3.285,330.159
659,,,29,3.716,0.000
659,,,30,1.102,186.181
659,,,31,0.902,240.823
659,,,32,1.719,282.997
659,,,33,2.490,360.279
659,,,34,1.014,448.899
659,,,35,2.590,482.350
658,,,36,11.544,0.000
657,,,37,6.695,283.226
654,,,38,3.805,622.924
654,,,39,4.336,550.704
653,,,40,0.863,659.332
655,,,41,5.310,533.880
653,,,42,4.922,623.794
649,,,43,9.602,301.552
648,,,44,4.601,315.659
660,,,45,6.702,381.066
661,,,46,7.947,415.544
652,,,47,4.606,642.314
652,,,48,2.175,755.846
652,,,49,2.357,803.308
652,,,50,2.132,718.659
652,,,51,2.590,674.366
662,,,52,5.227,651.639
662,,,53,6.212,511.527
651,,,54,3.578,330.581
651,,,55,5.209,469.237
650,,,56,7.619,301.552
641,,,57,4.507,557.727
641,,,58,5.378,362.044
665,,,59,2.368,472.485
665,,,60,1.799,394.115
665,,,61,1.245,567.237
666,,,62,1.172,169.508
666,,,63,10.359,176.428
665,,,64,3.204,359.729
665,,,65,3.463,416.913
668,,,66,4.074,0.000
668,,,67,4.656,82.157
667,,,68,14.408,145.328
669,,,69,9.387,0.000
670,,,70,11.035,0.000
671,,,71,3.764,38.445
672,,,72,3.856,0.000
672,,,73,4.145,0.000
672,,,74,4.343,0.000
671,,,75,10.452,0.000
672,,,76,3.173,104.725
673,,,77,13.867,0.000
674,,,78,3.606,154.452
674,,,79,3.577,274.683
674,,,80,5.543,156.725
674,,,81,4.736,254.673
664,,,82,14.919,200.375
692,,,83,19.122,254.929
663,,,84,6.975,650.899
693,,,85,7.853,653.929
647,,,86,4.002,158.589
646,,,87,2.724,140.442
644,,,88,1.766,41.392
642,,,89,2.194,258.867
642,,,90,1.429,181.374
645,,,91,4.452,41.392
638,,,92,5.656,178.382
637,,,93,4.908,48.325
639,,,94,2.421,241.317
640,,,95,5.059,268.773
710,,,96,6.313,129.473
709,,,97,1.941,318.883
708,,,98,4.269,355.907
707,,,99,4.665,487.061
707,,,100,4.725,710.986
