plot,sub,flag,pid,area_ac,bnd_km
255,,,0,2.073,0.000
254,,,1,1.505,0.000
N/A,,Unknown Plot #,2,0.546,0.080
253,,,3,1.111,0.000
252,,,4,1.872,0.000
257,,,5,1.330,0.110
N/A,,Unknown Plot #,6,1.550,0.080
245,,,7,1.111,0.207
246,,,8,1.634,0.096
251,,,9,1.563,0.000
244,,,10,1.442,0.093
249,,,11,2.597,0.089
260,,,12,2.725,0.000
261,,,13,12.195,0.000
262,,,14,4.929,0.155
263,,,15,6.738,0.000
259,,,16,8.990,0.000
265,,,17,2.268,0.077
243,,,18,2.096,0.208
265,,,19,1.650,0.310
242,,,20,1.578,0.359
264,,,21,4.579,0.078
266,,,22,2.346,0.240
269,,,23,10.034,0.000
270,,,24,1.538,0.250
273,,,25,4.650,0.069
267,,,26,0.881,0.332
268,,,27,13.828,0.191
215,,,28,1.122,0.398
N/A,,Unknown Plot #,29,2.927,0.372
239,,,30,2.389,0.399
238,,,31,1.132,0.455
232,,,32,1.409,0.306
N/A,,Unknown Plot #,33,1.068,0.377
233,,,34,3.988,0.245
N/A,,Unknown Plot #,35,1.430,0.000
N/A,,Unknown Plot #,36,0.891,0.038
N/A,,Unknown Plot #,37,1.563,0.164
225,,,38,1.955,0.000
N/A,,Unknown Plot #,39,0.775,0.106
N/A,,Unknown Plot #,40,0.515,0.092
N/A,,Unknown Plot #,41,0.649,0.117
230,,,42,1.539,0.164
N/A,,Unknown Plot #,43,0.497,0.250
N/A,,Unknown Plot #,44,0.201,0.311
224,,,45,4.024,0.000
223,,,46,2.119,0.071
160,,,47,3.013,0.041
N/A,,Unknown Plot #,48,0.958,0.000
158,,,49,1.340,0.023
161,,,50,1.230,0.101
N/A,,Unknown Plot #,51,0.631,0.198
159,,,52,0.567,0.158
N/A,,Unknown Plot #,53,0.807,0.350
229,,,54,3.571,0.089
236,,,55,1.098,0.291
237,,,56,1.355,0.383
222,,,57,3.268,0.234
N/A,,Unknown Plot #,58,0.574,0.318
N/A,,Unknown Plot #,59,1.843,0.477
165,,,60,1.966,0.416
N/A,,Unknown Plot #,61,0.796,0.306
164,,,62,1.183,0.239
166,,,63,3.108,0.351
N/A,,Unknown Plot #,64,1.402,0.213
163,,,65,1.891,0.251
N/A,,Unknown Plot #,66,1.854,0.336
160,,,67,0.942,0.278
N/A,,Unknown Plot #,68,0.382,0.527
213,,,69,1.978,0.463
N/A,,Unknown Plot #,70,0.291,0.501
211,,,71,5.266,0.404
N/A,,Unknown Plot #,72,1.333,0.568
203,,,73,1.775,0.631
206,,,74,2.209,0.495
N/A,,Unknown Plot #,75,0.889,0.603
N/A,,Unknown Plot #,76,0.374,0.642
174,,,77,2.685,0.483
N/A,,Unknown Plot #,78,1.091,0.483
175,,,79,3.809,0.548
272,,,80,7.504,0.335
275,,,81,3.238,0.483
N/A,,Unknown Plot #,82,1.120,0.478
209,,,83,2.555,0.563
271,,,84,5.083,0.335
210,,,85,0.914,0.559
194,,,86,1.548,0.600
193,,,87,0.633,0.650
N/A,,Unknown Plot #,88,0.325,0.631
196,,,89,2.235,0.705
N/A,,Unknown Plot #,90,0.910,0.704
201,,,91,2.424,0.647
195,,,92,0.904,0.627
N/A,,Unknown Plot #,93,1.800,0.620
N/A,,Unknown Plot #,94,2.057,0.809
N/A,,Unknown Plot #,95,0.281,0.810
198,,,96,1.370,0.834
191,,,97,1.783,0.843
197,,,98,2.586,0.714
192,,,99,5.315,0.710
277,,,100,2.320,0.737
278,,,101,1.576,0.803
2,,,102,2.112,0.971
1,,,103,4.506,1.024
276,,,104,7.401,0.518
280,,,105,6.824,0.686
N/A,,Unknown Plot #,106,9.548,0.844
279,,,107,12.539,0.873
155,,,108,6.591,0.000
156,,,109,13.660,0.000
151,,,110,5.462,0.191
150,,,111,0.378,0.177
151,,,112,0.347,0.149
151,,,113,1.244,0.077
154,,,114,0.459,0.126
153,,,115,6.040,0.000
142,,,116,2.274,0.284
N/A,,Unknown Plot #,117,1.908,0.357
172,,,118,1.553,0.418
N/A,,Unknown Plot #,119,0.733,0.499
176,,,120,2.737,0.564
N/A,,Unknown Plot #,121,0.476,0.679
200,,,122,4.529,0.693
185,,,123,2.176,0.810
189,,,124,3.678,0.931
N/A,,Unknown Plot #,125,1.569,0.284
140,,,126,1.081,0.385
141,,,127,1.615,0.386
N/A,,Unknown Plot #,128,1.373,0.397
139,,,129,3.690,0.438
171,,,130,2.453,0.488
180,,,131,0.355,0.722
177,,,132,2.147,0.584
178,,,133,2.061,0.663
N/A,,Unknown Plot #,134,1.550,0.496
137,,,135,1.555,0.534
184,,,136,2.182,0.785
N/A,,Unknown Plot #,137,0.957,0.671
183,,,138,2.277,0.736
N/A,,Unknown Plot #,139,0.169,0.764
181,,,140,1.391,0.678
N/A,,Unknown Plot #,141,2.128,0.620
134,,,142,0.777,0.676
N/A,,Unknown Plot #,143,2.434,0.735
188,,,144,4.525,0.802
121,,,145,1.223,0.815
123,,,146,2.187,0.691
N/A,,Unknown Plot #,147,1.526,0.617
N/A,,Unknown Plot #,148,0.886,0.576
