Plot,Flag,sub,pid,area_ac,bnd_km
147,,,0,13.826,0.663
146,,,1,10.644,0.596
154,,,2,10.520,0.346
154,,,3,2.127,0.606
154,,,4,1.899,0.528
154,,,5,0.651,0.530
154,,,6,2.686,0.483
154,,,7,6.881,0.410
154,,,8,4.575,0.343
154,,,9,1.629,0.400
154,,,10,4.330,0.428
154,,,11,4.290,0.506
154,,,12,1.172,0.732
154,,,13,1.844,0.780
154,,,14,17.747,0.496
154,,,15,1.378,0.680
154,,,16,4.149,0.749
145,,,17,9.534,0.784
140,,,18,14.089,0.568
139,,,19,5.730,0.482
138,,,20,11.700,0.486
135,,,21,14.981,0.167
136,,,22,0.810,0.448
136,,,23,5.004,0.462
137,,,24,5.263,0.499
154,,,25,3.506,0.259
154,,,26,3.974,0.109
148,,,27,20.403,0.604
149,,,28,17.398,0.346
154,,,29,3.510,0.255
150,,,30,14.486,0.479
150,,,31,2.428,0.685
150,,,32,6.591,0.515
154,,,33,1.626,0.250
153,,,34,15.529,0.303
154,,,35,3.927,0.186
152,,,36,9.152,0.303
160,,,37,13.176,0.544
159,,,38,11.975,0.341
158,,,39,15.361,0.148
151,,,40,7.878,0.537
150,,,41,1.926,0.744
127,,,42,11.227,0.769
128,,,43,20.903,0.443
126,,,44,13.853,0.758
122,,,45,1.779,0.890
161,,,46,6.137,0.819
125,,,47,5.236,0.860
124,,,48,4.834,0.985
182,,,49,5.866,0.747
163,,,50,1.863,0.850
N/A,Unknown Plot #,,51,1.166,0.758
165,,,52,1.109,0.664
166,,,53,11.028,0.599
167,,,54,9.817,0.579
168,,,55,15.682,0.337
169,,,56,12.402,0.127
170,,,57,8.687,0.000
171,,,58,12.258,0.000
172,,,59,11.127,0.068
173,,,60,11.446,0.128
174,,,61,13.851,0.238
172,,,62,1.552,0.027
204,,,63,5.971,0.000
173,,,64,1.324,0.076
203,,,65,4.930,0.072
200,,,66,7.771,0.585
202,,,67,13.373,0.151
201,,,68,11.979,0.340
205,,,69,14.987,0.000
209,,,70,6.522,0.246
211,,,71,5.434,0.361
210,,,72,1.744,0.408
206,,,73,8.698,0.000
208,,,74,8.130,0.125
253,,,75,9.637,0.254
207,,,76,12.309,0.000
256,,,77,15.395,0.000
257,,,78,5.141,0.000
254,,,79,4.471,0.330
255,,,80,6.213,0.285
251,,,81,6.855,0.452
250,,,82,1.096,0.464
249,,,83,2.112,0.449
247,,,84,1.907,0.422
246,,,85,1.631,0.442
257,,,86,4.990,0.000
258,,,87,10.115,0.235
257,,,88,2.298,0.092
259,,,89,6.548,0.252
262,,,90,6.918,0.000
261,,,91,9.754,0.158
263,,,92,9.817,0.000
264,,,93,5.444,0.000
265,,,94,1.969,0.000
264,,,95,5.068,0.131
266,,,96,10.112,0.000
267,,,97,1.003,0.050
306,,,98,15.625,0.104
305,,,99,13.502,0.096
304,,,100,10.991,0.304
268,,,101,5.335,0.000
270,,,102,1.783,0.000
270,,,103,1.865,0.000
272,,,104,1.244,0.000
271,,,105,2.714,0.000
274,,,106,12.151,0.000
269,,,107,7.521,0.050
275,,,108,17.604,0.000
276,,,109,13.502,0.050
277,,,110,14.263,0.217
278,,,111,6.924,0.296
279,,,112,10.847,0.033
280,,,113,18.670,0.000
281,,,114,19.501,0.000
282,,,115,8.607,0.000
283,,,116,2.796,0.000
291,,,117,18.815,0.328
303,,,118,10.572,0.379
307,,,119,3.252,0.272
308,,,120,1.836,0.347
260,,,121,1.452,0.285
309,,,122,2.238,0.352
307,,,123,4.167,0.305
301,,,124,4.344,0.389
N/A,Unknown Plot #,,125,1.432,0.398
310,,,126,1.438,0.424
300,,,127,2.280,0.491
302,,,128,12.671,0.438
313,,,129,4.629,0.518
298,,,130,2.497,0.604
312,,,131,2.039,0.541
293,,,132,16.804,0.447
315,,,133,1.678,0.544
320,,,134,2.587,0.571
285,,,135,16.790,0.004
284,,,136,2.504,0.000
292,,,137,6.448,0.327
294,,,138,16.155,0.340
338,,,139,15.635,0.140
337,,,140,14.788,0.361
295,,,141,14.526,0.647
322,,,142,4.649,0.649
323,,,143,5.141,0.764
324,,,144,2.555,0.898
322,,,145,5.662,0.685
325,,,146,3.355,0.900
326,,,147,3.076,0.910
327,,,148,6.219,0.910
336,,,149,16.966,0.581
346,,,150,26.498,0.161
335,,,151,5.293,0.469
329,,,152,3.646,0.754
328,,,153,2.005,0.910
330,,,154,9.184,0.854
331,,,155,5.393,0.840
332,,,156,9.393,0.578
334,,,157,11.702,0.433
242,,,158,7.489,0.547
241,,,159,8.434,0.709
252,,,160,9.127,0.452
228,,,161,2.403,1.029
240,,,162,7.110,0.746
238,,,163,2.897,0.804
214,,,164,3.354,0.701
212,,,165,12.945,0.498
215,,,166,2.225,0.773
198,,,167,16.635,0.420
229,,,168,3.632,1.045
227,,,169,1.977,1.039
230,,,170,2.787,1.132
233,,,171,3.201,1.023
199,,,172,7.249,0.774
237,,,173,2.629,0.912
217,,,174,3.207,0.939
220,,,175,7.923,1.007
218,,,176,2.149,1.037
196,,,177,5.715,0.960
197,,,178,3.144,0.890
178,,,179,3.985,0.666
178,,,180,1.254,0.691
176,,,181,5.320,0.560
185,,,182,4.223,0.820
180,,,183,2.168,0.780
222,,,184,3.374,1.040
223,,,185,2.408,0.994
N/A,Unknown Plot #,,186,15.274,0.701
29,,,187,9.788,0.757
2,,,188,1.359,0.711
1,,,189,2.344,0.663
30,,,190,5.933,0.867
31,,,191,1.053,1.081
32,,,192,15.641,0.957
195,,,193,2.432,0.993
186,,,194,2.029,0.887
74,,,195,16.156,1.019
N/A,Unknown Plot #,,196,1.623,0.907
189,,,197,1.854,1.001
339,,,198,4.254,0.000
340,,,199,1.033,0.000
342,,,200,1.593,0.000
341,,,201,2.287,0.045
342,,,202,1.749,0.000
343,,,203,1.364,0.000
344,,,204,4.283,0.000
345,,,205,6.622,0.083
350,,,206,11.307,0.000
349,,,207,5.210,0.142
347,,,208,9.162,0.320
175,,,209,14.459,0.369
183,,,210,7.796,0.805
194,,,211,16.015,0.923
75,,,212,2.615,1.035
351,,,213,4.342,0.000
359,,,214,8.667,0.167
348,,,215,3.999,0.142
358,,,216,0.879,0.211
360,,,217,10.108,0.321
361,,,218,4.136,0.470
363,,,219,5.694,0.592
357,,,220,1.548,0.113
356,,,221,4.309,0.048
352,,,222,13.517,0.032
353,,,223,7.556,0.000
7,,,224,2.112,0.186
12,,,225,1.043,0.139
14,,,226,1.515,0.186
16,,,227,1.377,0.234
17,,,228,2.414,0.294
10,,,229,1.407,0.164
6,,,230,13.056,0.157
355,,,231,4.114,0.073
8,,,232,1.077,0.193
9,,,233,0.967,0.198
354,,,234,7.419,0.000
18,,,235,1.187,0.263
5,,,236,14.042,0.350
3,,,237,2.145,0.649
4,,,238,1.150,0.606
20,,,239,2.386,0.433
